;�..Isolate;Collection.Year;Accession.number;Source;Continent;Country;Region;ptxA;ptxP;fim3;fim2;prn.allele;prn.expression;If.PRN.negative.state.event;Insertion.of.IS481.in.PRN;Western.Blot.prn.expression.NRC.Institut.Pasteur;Longitude;Latitude;Precision_loc;Dataset
1460;Bp6-I14;2014;ERR6097543     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event43 (new);no;NA;12,4853384;41,894802;City;EU_dataset
1461;Bp7-I14;2014;ERR6097544     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;12,4853384;41,894802;City;EU_dataset
1462;Bp8-I14;2014;ERR6097545     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1463;Bp9-I14;2014;ERR6097546     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1464;Bp11-I15;2015;ERR6097519     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1465;Bp22-I16;2016;ERR6097523     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;12,4853384;41,894802;City;EU_dataset
1466;Bp23-I16;2016;ERR6097524     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1467;Bp24-I16;2016;ERR6097525     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1468;Bp25-I16;2016;ERR6097526     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1469;Bp26-I16;2016;ERR6097527     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;12,4853384;41,894802;City;EU_dataset
1470;Bp27-I16;2016;ERR6097528     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1471;Bp28-I16;2016;ERR6097529     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;Others;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1472;Bp29-I16;2016;ERR6097530     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1473;Bp30-I16;2016;ERR6097531     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event44 (new);no;NA;12,4853384;41,894802;City;EU_dataset
1474;Bp31-I16;2016;ERR6097532     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;12,4853384;41,894802;City;EU_dataset
1475;Bp32-I16;2016;ERR6097533     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;12,4853384;41,894802;City;EU_dataset
1476;Bp33-I16;2016;ERR6097534     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;Others;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1477;Bp34-I16;2016;ERR6097535     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1478;Bp35-I16;2016;ERR6097536     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;12,4853384;41,894802;City;EU_dataset
1479;Bp36-I16;2016;ERR6097537     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1;no;NA;12,4853384;41,894802;City;EU_dataset
1480;Bp37-I16;2016;ERR6097538     ;This_study;Europe;IT;Lazio;Others;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1481;Bp39-I16;2016;ERR6097539     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;NA;12,4853384;41,894802;City;EU_dataset
1482;Bp40-I16;2016;ERR6097541     ;This_study;Europe;IT;Lazio;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event17;no;NA;12,4853384;41,894802;City;EU_dataset
1483;Tohama;1954;NC_002929.2;NCBI;Asia;JP;;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;NA;NA;NA;NA
1484;BP44;1982;ERR1775237;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;;prn+;;IS481 insertion;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1485;BP89;1982;ERR1775271;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1486;BP100;1983;ERR1775136;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;IS481 insertion;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1487;BP90;1983;ERR1775273;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1488;BP95;1983;ERR1775278;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1489;BP96;1983;ERR1775279;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1490;BP97;1983;ERR1775280;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1491;BP98;1983;ERR1775281;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1492;BP99;1983;ERR1775282;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1493;BP194;1986;ERR1775174;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1494;BP196;1986;ERR1775175;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1495;BP91;1986;ERR1775274;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1496;BP92;1986;ERR1775275;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1497;BP93;1987;ERR1775276;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1498;BP94;1987;ERR1775277;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1499;BP71;1988;ERR1775264;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1500;BP73;1988;ERR1775265;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1501;BP68;1989;ERR1775263;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1502;BP12;1990;ERR1775152;Zomer et. al. (2018);Asia;JP;Kinki;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1503;BP15;1990;ERR1775168;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1504;BP81;1990;ERR1775267;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1505;BP84;1990;ERR1775268;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA2;Others;fim3-1;fim2-1;Prn 1;prn+;;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1506;BP22;1991;ERR1775180;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1507;BP85;1991;ERR1775269;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1508;BP27;1992;ERR1775187;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1509;BP28;1992;ERR1775188;Zomer et. al. (2018);Asia;JP;Kinki;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1510;BP29;1992;ERR1775189;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1511;BP101;1994;ERR1775137;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1512;BP33;1994;ERR1775205;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1513;BP34;1994;ERR1775208;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1514;BP35;1994;ERR1775216;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1515;BP36;1994;ERR1775219;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1516;BP37;1994;ERR1775223;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1517;BP40;1994;ERR1775228;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1518;BP41;1994;ERR1775231;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1519;BP120;1995;ERR1775153;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1520;BP193;1995;ERR1775173;Zomer et. al. (2018);Asia;JP;Kyushu;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;130,6180016;33,6251241;Region;Zomer et al. 2018
1521;BP32;1995;ERR1775203;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1522;BP5;1995;ERR1775249;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1523;BP6;1995;ERR1775256;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1524;BP10;1996;ERR1775135;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1525;BP124;1996;ERR1775157;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1526;BP125;1996;ERR1775158;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1527;BP127;1996;ERR1775159;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1528;BP128;1996;ERR1775160;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1529;BP130;1996;ERR1775161;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1530;BP131;1996;ERR1775162;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1531;BP133;1996;ERR1775163;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1532;BP8;1996;ERR1775266;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1533;BP86;1996;ERR1775270;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1534;BP9;1996;ERR1775272;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1535;BP118;1997;ERR1775150;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1536;BP42;1997;ERR1775235;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1537;BP121;1998;ERR1775154;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1538;BP103;1999;ERR1775138;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1539;BP104;1999;ERR1775139;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1540;BP114;1999;ERR1775146;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1541;BP117;1999;ERR1775149;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1542;BP31;1999;ERR1775197;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1543;BP56;1999;ERR1775253;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1544;BP58;1999;ERR1775254;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1545;BP66;1999;ERR1775261;Zomer et. al. (2018);Asia;JP;Kinki;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1546;BP1;2000;ERR1775134;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1547;BP106;2000;ERR1775140;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1548;BP107;2000;ERR1775141;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1549;BP108;2000;ERR1775142;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1550;BP111;2000;ERR1775143;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1551;BP112;2000;ERR1775144;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1552;BP113;2000;ERR1775145;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1553;BP115;2000;ERR1775147;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1554;BP116;2000;ERR1775148;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1555;BP123;2000;ERR1775156;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1556;BP134;2000;ERR1775164;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1557;BP135;2000;ERR1775165;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1558;BP43;2000;ERR1775236;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1559;BP55;2000;ERR1775252;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1560;BP59;2000;ERR1775255;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1561;BP60;2000;ERR1775257;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1562;BP61;2000;ERR1775258;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1563;BP63;2000;ERR1775259;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1564;BP64;2000;ERR1775260;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1565;BP67;2000;ERR1775262;Zomer et. al. (2018);Asia;JP;Kinki;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1566;BP119;2001;ERR1775151;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1567;BP122;2001;ERR1775155;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1568;BP139;2001;ERR1775166;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1569;BP148;2002;ERR1775167;Zomer et. al. (2018);Asia;JP;Hokkaido;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;141,3542924;43,061936;Region;Zomer et al. 2018
1570;BP155;2002;ERR1775169;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1571;BP156;2002;ERR1775170;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1572;BP159;2002;ERR1775171;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1573;BP162;2002;ERR1775172;Zomer et. al. (2018);Asia;JP;Kyushu;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;130,6180016;33,6251241;Region;Zomer et al. 2018
1574;BP202;2003;ERR1775176;Zomer et. al. (2018);Asia;JP;Kyushu;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;130,6180016;33,6251241;Region;Zomer et al. 2018
1575;BP211;2003;ERR1775177;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;Others;fim3-1;fim2-1;Prn 1;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1576;BP214;2003;ERR1775178;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1577;BP215;2003;ERR1775179;Zomer et. al. (2018);Asia;JP;Kanto;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1578;BP227;2003;ERR1775181;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1579;BP233;2004;ERR1775182;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1580;BP235;2004;ERR1775183;Zomer et. al. (2018);Asia;JP;Tohoku;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;140,8691498;38,2677554;Region;Zomer et al. 2018
1581;BP243;2004;ERR1775184;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1582;BP260;2004;ERR1775185;Zomer et. al. (2018);Asia;JP;Kanto;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;139,7594549;35,6828387;Region;Zomer et al. 2018
1583;BP267;2004;ERR1775186;Zomer et. al. (2018);Asia;JP;Kyushu;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;130,6180016;33,6251241;Region;Zomer et al. 2018
1584;BP290;2005;ERR1775190;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1585;BP293;2005;ERR1775191;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event15;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1586;BP297;2005;ERR1775192;Zomer et. al. (2018);Asia;JP;Chugoku;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;132,4518156;34,3916058;Region;Zomer et al. 2018
1587;BP300;2005;ERR1775193;Zomer et. al. (2018);Asia;JP;Kyushu;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;130,6180016;33,6251241;Region;Zomer et al. 2018
1588;BP302;2005;ERR1775194;Zomer et. al. (2018);Asia;JP;Kinki;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;135,490357;34,6198813;Region;Zomer et al. 2018
1589;BP306;2006;ERR1775195;Zomer et. al. (2018);Asia;JP;Chubu;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
1590;BP307;2006;ERR1775196;Zomer et. al. (2018);Asia;JP;Chubu;ptxA2;ptxP1;fim3-1;fim2-1;;prn-;event24;IS481 insertion;NA;136,8998438;35,1851045;Region;Zomer et al. 2018
